Date,Median Days to Permit - New Residential,Median Days to Permit - New Commercial,Building Permit Fees,Number of Building Permits Issued New Residential,Number of Building Permits Issued New Commercial,New Complaints Received,Median Days to Inspect Zoning Complaints,Number of building permits issued,Number of Land Development/Subdivision Permits Issued,Total Revenue Generated,Permit Processing Fee
FY 07,47.666670000000003,,,,,,,,,,
FY 07 Q1,68.666669999999996,,,,,,,,,,
Jul FY 07,74,,,,,,,,,,
Aug FY 07,63,,,,,,,,,,
Sep FY 07,69,,,,,,,,,,
FY 07 Q2,39.333329999999997,,,,,,,,,,
Oct FY 07,46,,,,,,,,,,
Nov FY 07,35,,,,,,,,,,
Dec FY 07,37,,,,,,,,,,
FY 07 Q3,49,,,,,,,,,,
Jan FY 07,56,,,,,,,,,,
Feb FY 07,48,,,,,,,,,,
Mar FY 07,43,,,,,,,,,,
Apr FY 07,38,,,,,,,,,,
FY 07 Q4,33.666670000000003,,,,,,,,,,
May FY 07,28,,,,,,,,,,
Jun FY 07,35,,,,,,,,,,
FY 08,45.666670000000003,,,,,,,,,,
FY 08 Q1,43.666670000000003,,,,,,,,,,
Jul FY 08,49,,,,,,,,,,
Aug FY 08,44,,,,,,,,,,
Sep FY 08,38,,,,,,,,,,
FY 08 Q2,48.333329999999997,,,,,,,,,,
Oct FY 08,48,,,,,,,,,,
Nov FY 08,37,,,,,,,,,,
Dec FY 08,60,,,,,,,,,,
FY 08 Q3,41.333329999999997,,,,,,,,,,
Jan FY 08,38,,,,,,,,,,
Feb FY 08,50,,,,,,,,,,
Mar FY 08,36,,,,,,,,,,
Apr FY 08,35,,,,,,,,,,
FY 08 Q4,49.333329999999997,,,,,,,,,,
May FY 08,50,,,,,,,,,,
Jun FY 08,63,,,,,,,,,,
FY 09,53.833329999999997,,,,,,10.88,,,,
FY 09 Q1,46.333329999999997,,,,,,12.83,,,,
Jul FY 09,40,,,,,,13.5,,,,
Aug FY 09,50,,,,,,17,,,,
Sep FY 09,49,,,,,,8,,,,
FY 09 Q2,54.666670000000003,,,,,,10,,,,
Oct FY 09,39,,,,,,13,,,,
Nov FY 09,74,,,,,,6,,,,
Dec FY 09,51,,,,,,11,,,,
FY 09 Q3,56,,,,,,8.33,,,,
Jan FY 09,70,,,,,,2,,,,
Feb FY 09,50,,,,,,11,,,,
Mar FY 09,48,,,,,,12,,,,
Apr FY 09,42,,,,,,8,,,,
FY 09 Q4,58.333329999999997,,,,,,12.33,,,,
May FY 09,46,,,,,,12,,,,
Jun FY 09,87,,,,,,17,,,,
FY 10,38.833329999999997,,,,,,11.75,,,,
FY 10 Q1,40,,,,,,11.75,,,,
Jul FY 10,51,,,,,,9.5,,,,
Aug FY 10,36,,,,,,14,,,,
Sep FY 10,33,,,,,,,,,,
FY 10 Q2,48,,,,,,,,,,
Oct FY 10,38,,,,,,,,,,
Nov FY 10,43,,,,,,,,,,
Dec FY 10,63,,,,,,,,,,
FY 10 Q3,35.333329999999997,,,,,,,,,,
Jan FY 10,41,,,,,,,,,,
Feb FY 10,30,,,,,,,,,,
Mar FY 10,35,,,,,,,,,,
Apr FY 10,28,,,,,,,,,,
FY 10 Q4,32,,,,,,,,,,
May FY 10,30,,,,,,,,,,
Jun FY 10,38,,,,,,,,,,
FY 11,32.083329999999997,108.5,4389424,213,71,,,5244,17,6776004,
FY 11 Q1,36.333329999999997,97.333330000000004,990458,43,22,,,1304,4,1548590,
Jul FY 11,39,152,265679,17,5,,,408,2,431148,
Aug FY 11,27,82,426626,0,14,,,457,1,612371,
Sep FY 11,43,58,298153,26,3,,,439,1,505071,
FY 11 Q2,31.33333,153.5,1025496,49,26,,,1333,5,1539096,
Oct FY 11,21,108,409294,13,14,,,470,1,582310,
Nov FY 11,39,199,330267,18,8,,,438,1,521419,
Dec FY 11,34,,285935,18,4,,,425,3,435367,
FY 11 Q3,30,74.666669999999996,1051530,58,9,,,1220,5,1596609,
Jan FY 11,50,85,345800,11,0,,,402,2,515204,
Feb FY 11,14,100,322948,20,2,,,379,2,499878,
Mar FY 11,26,39,382782,27,7,,,439,1,581527,
Apr FY 11,26,,276055,16,3,,,419,1,669683,
FY 11 Q4,30.66667,,1321940,63,14,,,1387,3,2091709,
May FY 11,28,,398199,20,4,,,483,2,586484,
Jun FY 11,38,,647686,27,7,,,485,0,835542,
FY 12,42.083329999999997,126,6664803,276,61,4832,,5826,39,10612887,272900
FY 12 Q1,43.333329999999997,57.333329999999997,1321776,69,18,3924,,1396,5,1893175,0
Jul FY 12,36,45,495719,18,8,1218,,424,1,678704,0
Aug FY 12,48,71,486367,27,8,1612,,529,3,688927,0
Sep FY 12,46,56,339690,24,2,1094,,443,1,525544,0
FY 12 Q2,47.666670000000003,82.333330000000004,1659900,67,12,908,,1383,12,2273271,0
Oct FY 12,54,34,535342,12,6,908,,432,4,688038,0
Nov FY 12,47,120,626871,26,3,,,476,5,902280,0
Dec FY 12,42,93,497687,29,3,,,475,3,682953,0
FY 12 Q3,44.333329999999997,124.33333,2463327,56,21,,,1516,12,3362467,113475
Jan FY 12,44,148,957731,20,6,,,446,4,1193008,11750
Feb FY 12,51,72,789363,12,4,,,515,3,1114868,43350
Mar FY 12,38,153,716233,24,11,,,555,5,1054591,58735
Apr FY 12,33,240,551166,23,2,,,471,2,860943,49675
FY 12 Q4,33,240,1219800,84,10,,,1531,10,3083974,159425
May FY 12,,,668634,25,4,,,530,4,1078623,57735
Jun FY 12,,,,36,4,,,530,4,1144408,52375
FY 13,,,1920626,82,14,,,1602,19,2825548,158650
FY 13 Q1,,,1920626,82,14,,,1602,19,2825548,158650
Jul FY 13,,,584154.4,29,5,,,542,7,844167,51925
Aug FY 13,,,647368.80000000005,25,4,,,544,1,1012574,60100
Sep FY 13,,,689102.8,28,5,,,516,11,968807,46625
